FID,ADM2_EN,ADM3_EN,Shape_Leng,Shape_Area,Area,pop2020,pop_low,pop_mod,pop_high,pop_vhigh,pop_risk,pop_hvhigh,pct_low,pct_mod,pct_high,pct_vhigh,pct_risk,pvt_hvhigh,pct_norisk,pct_hverisk
27,Kurunegala,Bamunakotuwa,0.511332348,0.009058082,111,55003,3739,1956,1012,319,3287,1331,6.797811028,3.556169663,1.839899642,0.579968365,5.976037671,2.419868007,87.2261513,12.7738487
28,Kalutara,Bandaragama,0.534420756,0.004596403,56,134125,11643,11214,7457,750,19421,8207,8.680708295,8.360857409,5.559739049,0.55917987,14.47977633,6.118918919,76.83951538,23.16048462
29,Badulla,Bandarawela,0.551257124,0.005800767,71,72183,3150,1977,1431,1865,5273,3296,4.363908399,2.738872034,1.982461244,2.583710846,7.305044124,4.56617209,88.33104748,11.66895252
30,Hambantota,Beliatta,0.564787148,0.008382457,103,59656,4088,3281,2279,920,6480,3199,6.852621698,5.499865898,3.82023602,1.542175137,10.86227706,5.362411157,82.28510125,17.71489875
31,Galle,Bentota,0.734910492,0.00564897,69,52773,4848,5297,2348,225,7870,2573,9.186515832,10.0373297,4.449244879,0.426354386,14.91292896,4.875599265,75.90055521,24.09944479
32,Kalutara,Beruwala,0.568416133,0.005937296,73,182427,15810,10478,8019,1596,20093,9615,8.666480291,5.74366733,4.395730895,0.874870496,11.01426872,5.270601391,80.31925099,19.68074901
33,Monaragala,Bibile,1.440507391,0.038072767,465,41306,1574,1399,843,448,2690,1291,3.810584419,3.386917155,2.040865734,1.084588195,6.512371084,3.125453929,89.6770445,10.3229555
34,Kurunegala,Bingiriya,0.862458388,0.015867604,194,67861,4435,3352,1555,264,5171,1819,6.535417987,4.939508702,2.291448697,0.389030518,7.619987916,2.680479215,85.8445941,14.1554059
35,Gampaha,Biyagama,0.445151768,0.004982192,61,214347,15450,13678,22652,28646,64976,51298,7.20793853,6.381241632,10.56791091,13.36431114,30.31346368,23.93222205,62.47859779,37.52140221
36,Galle,Bope-Poddala,0.29724286,0.002335479,29,61032,6186,4029,2808,210,7047,3018,10.13566654,6.601454974,4.60086512,0.344081793,11.54640189,4.944946913,78.31793158,21.68206842
37,Kegalle,Bulathkohipitiya,0.851522633,0.010255125,125,50008,1350,924,920,1714,3558,2634,2.699568069,1.847704367,1.839705647,3.427451608,7.114861622,5.267157255,90.18557031,9.814429691
38,Kalutara,Bulathsinhala,0.844436633,0.017226435,211,69336,2396,2206,2653,2374,7233,5027,3.455636322,3.1816084,3.826295142,3.423906773,10.43181031,7.250201915,86.11255336,13.88744664
39,Monaragala,Buttala,1.496655214,0.057955674,709,53573,3021,2534,1975,444,4953,2419,5.639034588,4.729994587,3.686558528,0.828775689,9.245328804,4.515334217,85.11563661,14.88436339
40,Puttalam,Chilaw,0.905858775,0.007082444,86,64565,5493,2545,1822,180,4547,2002,8.507705413,3.941764114,2.821962364,0.278788817,7.042515295,3.100751181,84.44977929,15.55022071
41,Colombo,Colombo,0.347750898,0.001480361,18,292248,26045,27084,29128,97,56309,29225,8.911951493,9.267471463,9.966877447,0.033190988,19.2675399,10.00006844,71.82050861,28.17949139
42,Ampara,Damana,2.169374076,0.038041676,465,38146,1846,1388,1010,305,2703,1315,4.839301631,3.638651497,2.647721911,0.799559587,7.085932994,3.447281497,88.07476538,11.92523462
43,Matale,Dambulla,1.492439887,0.036559619,446,79494,4357,3565,2551,1039,7155,3590,5.480916799,4.484615191,3.209047224,1.307016882,9.000679297,4.516064105,85.5184039,14.4815961
44,Puttalam,Dankotuwa,0.582076504,0.006264339,76,68019,6048,4640,3656,1465,9761,5121,8.89163322,6.82162337,5.374968759,2.153809965,14.35040209,7.528778724,76.75796469,23.24203531
45,Ampara,Dehiattakandiya,2.004238667,0.028437775,347,60556,2757,1694,875,177,2746,1052,4.552810622,2.797410661,1.444943523,0.292291433,4.534645617,1.737234956,90.91254376,9.087456239
46,Kegalle,Dehiowita,0.916400419,0.0158631,194,89053,1830,1458,1941,10288,13687,12229,2.054956037,1.637227269,2.179600912,11.55267088,15.36949906,13.73227179,82.5755449,17.4244551
47,Colombo,Dehiwala,0.140684549,0.000690783,8,88103,10676,1131,50,50,1231,100,12.11763504,1.283724731,0.056751756,0.056751756,1.397228244,0.113503513,86.48513671,13.51486329
48,Jaffna,Delft,0.44557596,0.003819204,46,2908,154,81,26,0,107,26,5.295735901,2.785419532,0.894085282,0,3.679504814,0.894085282,91.02475928,8.975240715
49,Kandy,Deltota,0.431197219,0.004052602,50,31183,1368,746,420,379,1545,799,4.38700574,2.392329154,1.346887727,1.21540583,4.954622711,2.562293557,90.65837155,9.341628451
50,Kegalle,Deraniyagala,0.783930448,0.018174809,222,45994,1230,835,881,2296,4012,3177,2.67426186,1.81545419,1.915467235,4.991955472,8.722876897,6.907422707,88.60286124,11.39713876
51,Matara,Devinuwara,0.587025132,0.003098857,38,54018,3978,2033,2088,646,4767,2734,7.364211929,3.763560295,3.865378207,1.195897664,8.824836166,5.061275871,83.8109519,16.1890481
52,Matara,Dikwella,0.428808356,0.004183411,51,56136,3247,2488,1585,760,4833,2345,5.784167023,4.432093487,2.823500071,1.353854924,8.609448482,4.177354995,85.60638449,14.39361551
53,Polonnaruwa,Dimbulagala,2.990375144,0.046297328,565,90858,4395,2363,1326,325,4014,1651,4.837218517,2.600761628,1.459420194,0.357701028,4.41788285,1.817121222,90.74489863,9.255101367
