ADM2_EN,ADM3_EN,Area,pop_mild_dro,pop_mod_dro,pop_sev_dro,pop_ex_dro,pop_mse_dro,pop_se_dro,pct_mild_dro,pct_mod_dr,pct_sev_dro,pct_ex_dro,pct_mse_dro,pct_se_dr,pop2020,pop_low,pop_mod,pop_high,pop_vhigh,pop_risk,pop_hvhigh,pct_low,pct_mod,pct_high,pct_vhigh,pct_risk,pvt_hvhigh,pct_norisk,pct_hverisk,flood_high_cat,drought_sev_cat
Kegalle,Aranayake,120,0,0,1670,69081,70750,70750,0,0,2.346020917,97.05455592,99.40057684,99.40057684,71177,2794,1996,1873,2460,6329,4333,3.925425348,2.804276662,2.63146803,3.45617264,8.891917333,6.08764067,87.18265732,12.81734268,2.00,1.00
Matara,Athuraliya,63,0,10,33261,116,33388,33377,0,0.03042027,96.4254252,0.337049836,96.79289531,96.76247504,34494,1419,1496,3684,2150,7330,5834,4.113758915,4.336986143,10.68011828,6.232968052,21.25007248,16.91308633,74.63616861,25.36383139,2.00,2.00
Gampaha,Attanagalla,155,0,0,1340,197960,199300,199300,0,0,0.656985416,97.08369066,97.74067607,97.74067607,203907,15745,12250,12073,5424,29747,17497,7.721657422,6.007640738,5.92083646,2.660036193,14.58851339,8.580872653,77.68982919,22.31017081,2.00,1.00
Ratnapura,Ayagama,163,0,0,36,34784,34820,34820,0,0,0.105090951,101.2555471,101.3606381,101.3606381,34353,675,580,648,893,2121,1541,1.964893896,1.688353273,1.88629814,2.59948185,6.174133263,4.48577999,91.86097284,8.139027159,2.00,1.00
Monaragala,Badalkumbura,237,0,30262,12221,211,42694,12432,0,71.38853807,28.82944597,0.498314741,100.7162988,29.32776071,42390,1389,1081,709,379,2169,1088,3.276716207,2.550129748,1.672564284,0.894078792,5.116772824,2.566643076,91.60651097,8.39348903,2.00,2.00
Galle,Baddegama,113,0,0,80979,909,81888,81888,0,0,100.4651403,1.127720745,101.5928611,101.5928611,80604,5219,4258,5521,2903,12682,8424,6.474864771,5.282616247,6.849536003,3.601558235,15.73371049,10.45109424,77.79142474,22.20857526,2.00,2.00
Badulla,Badulla,49,0,1468,70347,0,71814,70347,0,1.871449011,89.70958705,0,91.58103607,89.70958705,78416,3181,2136,2893,5364,10393,8257,4.056570088,2.723933891,3.689298102,6.840440726,13.25367272,10.52973883,82.68975719,17.31024281,2.00,2.00
Ratnapura,Balangoda,274,5839,56193,7217,12257,75667,19474,6.992976503,67.29694184,8.643040055,14.67859975,90.61858165,23.3216398,83500,2900,2752,2291,1615,6658,3906,3.473053892,3.295808383,2.743712575,1.934131737,7.973652695,4.677844311,88.55329341,11.44670659,2.00,1.00
Galle,Balapitiya,49,0,0,0,59462,59462,59462,0,0,0,84.43491241,84.43491241,84.43491241,70424,6079,3805,1596,289,5690,1885,8.632000454,5.402987618,2.266272862,0.410371464,8.079631944,2.676644326,83.2883676,16.7116324,2.00,1.00
Kurunegala,Bamunakotuwa,111,0,0,131,53570,53701,53701,0,0,0.239026226,97.39385848,97.63288471,97.63288471,55003,3739,1956,1012,319,3287,1331,6.797811028,3.556169663,1.839899642,0.579968365,5.976037671,2.419868007,87.2261513,12.7738487,2.00,1.00
